penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l2,False,1.0,False,saga,50.0,0.00366748889207801,61.28840160369873
l2,False,1.5,True,sag,50.0,0.00366748889207801,48.86816644668579
l2,False,1.5,True,saga,50.0,0.00366748889207801,58.2161750793457
l1,False,1.0,True,saga,50.0,0.00366748889207801,110.24547672271729
l2,False,1.5,False,saga,50.0,0.00366748889207801,57.64075207710266
l2,False,2.0,True,sag,50.0,0.00366748889207801,41.43788719177246
l2,False,2.0,True,saga,50.0,0.00366748889207801,61.245253801345825
l2,False,2.0,False,sag,50.0,0.00366748889207801,53.16051745414734
l2,False,2.0,False,saga,50.0,0.00366748889207801,62.27389478683472
none,False,2.0,False,saga,50.0,0.00366748889207801,62.12103581428528
